,name,genre,author,status,alt_title,views,score,nb_votes
86,I’m Trapped In This Day For One Thousand Years,Action-Adventure-Drama-Fantasy-Shounen-Supernatural-Manhua,"
丧泽 - 春日文化 ",Ongoing,I'm Stuck on the Same Day for a Thousand Years ; Wo Bei Kun Zai Tongyi Tian Yiqian Nian ; Wǒ Bèi Kùn Zài Tóngyī Tiān Yīqiān Nián ; 我被困在同一天一千年,6.6M,4.7,893
87,Why Would a Villainess Have Virtues?,Drama-Josei-Romance-Manhwa,"
Cheon Ee-Eol ",Ongoing,Justice for the Villainess ; No Loyalty for a Villainess ; Where Is Justice for the Villainess? ; Why Would a Villainess Have Virtue? ; 恶女哪来的义气 ; 悪女に義理などありません ; 惡女에게 義理가 어디 있어 ; 악녀에게 의리가 어디 있어,12.8M,4.51,653
88,Love Blossoms in Hwawol Valley,Fantasy-Historical-Romance,"
Keihong - Park Sung Sil ",Ongoing,"어서오세요, 화월당입니다",380.1K,4.12,52
89,"My Sweet Enemy, Thy Name is Husband",Drama-Fantasy-Josei-Romance,"
Updating ",Ongoing,Political Marriage With a Friendly Enemy / 상냥한 원수와의 정략결혼,270.9K,4.34,44
90,Kyou mo Beranda de,Comedy-Romance-Seinen-Sliceoflife,"
Issei Itokawa ",Ongoing,今日もベランダで ; On the balcony again today ; Kyou mo Veranda de ; Сегодня снова на балконе,202K,4.87,182
91,Perhaps You're Mine,Comedy-Drama-Josei-Romance,"
Cikakey ",Ongoing,Perhaps Mine,1.8M,4.29,63
92,Supreme Demon Return,Action-Adventure-Fantasy-Martialarts,"
乐游映画 ",Ongoing,"Supremacy of demon world(Manga Toon), Demon Road Supreme, 妖道至尊之妖皇归来",2.7M,4.04,456
93,King Of Octagon,Action-Adventure-Drama-Martialarts-Manhwa,"
Gopubi - Philip ",Ongoing,옥타곤의 제왕; King of the Octagon,9.7M,"rate :
4.75/
5",5
94,Lady Crystal is a Man,Comedy-Drama-Fantasy-Genderbender-Josei-Romance-Webtoons-Manhwa,"
Jeoneona - Eona Jeon - No Non ",Ongoing,크리스탈 아가씨는 남자다,2.4M,4.23,266
95,This isn't it,Drama-Josei-Romance-Shoujo-Manhwa,"
Bom So Hee ",Ongoing,This Isn't It / 이게 아닌데 / This Isnt It / This Wasnt My Plan / This Wasn't My Plan,635K,3.96,25
96,I Adopted a Villainous Dad,Fantasy-Romance-Shoujo-Isekai,"
Cyam ",Ongoing,악당 아빠를 입양했다,1.3M,4.79,184
97,Kisei Shitara Juushi ga Kurashiteta,Updating,"
Juukyuu ",Ongoing,"帰省したら従姉が暮らしてた ; When I returned home, my cousin was living there ; When I returned home, my (older female) cousin was living there",403.7K,3.84,123
98,The Dark Queen and I Strike Back,Action-Adventure-Fantasy-Shounen-Isekai,"
Hideaki Yoshikawa ",Ongoing,"Maou to ore no Hangyakuki,魔王と俺の叛逆記",21.1M,4.42,2272
